id,prompt_style,fitness,train_Return_%,train_Sharpe,train_MaxDD_%,test_Return_%,test_Sharpe,test_MaxDD_%,code_path
5,aggressive,5.112404247721177,1.0805109837052005,0.40318932640159766,-1.4367770941472569,0.32515818141566705,0.4937823531106151,-0.6682390468026211,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_005.py
7,aggressive,4.6974650611390825,0.9910283821605553,0.3706436678978527,-1.4380347369792212,-0.04787519009584503,-0.07888393210067979,-0.8015125762974473,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_007.py
10,aggressive,-0.4458857906170597,-0.4458857906170597,-0.2475790141920418,-1.4121115074263169,0.34400590863401886,0.691092331993266,-0.3570605955423023,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_010.py
1,aggressive,-0.4458857906170597,-0.4458857906170597,-0.2475790141920418,-1.4121115074263169,0.34400590863401886,0.691092331993266,-0.3570605955423023,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_001.py
3,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_003.py
4,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_004.py
6,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_006.py
13,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_013.py
14,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_014.py
18,aggressive,-1.319047091687622,-1.319047091687622,-0.7394622534920152,-1.8727965731092477,-0.002579731722536962,-0.00526741557653564,-0.7480202679211456,/root/autodl-tmp/outputs/day19_trade_freq_iwm/gen01_codes/strat_018.py
