name,filename,return,sharpe,maxdd,trades
贵州茅台,stock_sh_600519.csv,14.068245553629573,0.14195427414522307,19.741682449940683,4
五粮液,stock_sz_000858.csv,20.470154025819674,0.1750608445897272,34.421939391599814,4
京东方,stock_sz_000725.csv,7.910758160050754,0.0653727252658421,27.23289912280711,7
中国平安,stock_sh_601318.csv,-9.48462236632916,-0.21883486180413042,25.39610680996053,11
中国石油,stock_sh_601857.csv,56.553944835792436,0.4154486577927349,28.247042966951604,11
格力电器,stock_sz_000651.csv,7.655511817463208,0.05673655851517376,19.814053109113345,5
万科A,stock_sz_000002.csv,-22.76709003015369,-0.9310547259996153,24.93492018200258,15
东方财富,stock_sz_300059.csv,64.83636800301541,0.47991955360399524,30.322776242354152,1
中国石化,stock_sh_600028.csv,70.83694323147324,0.6227831141683592,17.093391644167244,8
招商银行,stock_sh_600036.csv,16.757417067682777,0.1931812780149186,20.883217653145604,3
