id,prompt_style,fitness,train_Return_%,train_Sharpe,train_MaxDD_%,test_Return_%,test_Sharpe,test_MaxDD_%,code_path
3,aggressive,0.5189577629629277,0.017006431579575293,0.05019513313833525,-0.15397577522967554,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_003.py
8,aggressive,0.5189577629629277,0.017006431579575293,0.05019513313833525,-0.15397577522967554,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_008.py
1,aggressive,0.004866820301184838,0.00020329727171338163,0.0004663523029471457,-0.303617329159489,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_001.py
17,aggressive,0.004866820301184838,0.00020329727171338163,0.0004663523029471457,-0.303617329159489,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_017.py
20,aggressive,-0.03524763656615687,-0.03524763656615687,-0.29213123236455635,-0.0629983576161286,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_020.py
16,aggressive,-0.03524763656615687,-0.03524763656615687,-0.29213123236455635,-0.0629983576161286,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_016.py
5,aggressive,-0.03524763656615687,-0.03524763656615687,-0.29213123236455635,-0.0629983576161286,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_005.py
15,aggressive,-0.07970571594238572,-0.07970571594238572,-0.07980651878864091,-0.8015707203598788,-0.10040682723998907,-0.35850820176743126,-0.4216680686890073,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_015.py
14,aggressive,-0.11014550521850469,-0.11014550521850469,-0.3716809267305837,-0.17533451869619077,-0.007350558624268161,-0.08868454802605853,-0.06616374376667844,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_014.py
18,aggressive,-0.11654245162964799,-0.11654245162964799,-0.47729524334418616,-0.14040267288165653,0.02363400238036411,0.31078011274462947,-0.059567316969999506,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_018.py
13,aggressive,-0.11654245162964799,-0.11654245162964799,-0.47729524334418616,-0.14040267288165653,0.02363400238036411,0.31078011274462947,-0.059567316969999506,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_013.py
2,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_002.py
6,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_006.py
4,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_004.py
7,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_007.py
9,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_009.py
19,aggressive,-0.12360339996338007,-0.12360339996338007,-0.6913178823589886,-0.15132959300637738,0.0,,-0.0,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_019.py
11,aggressive,-0.6157034732055326,-0.6157034732055326,-0.4506222249121378,-1.188057152547406,0.2561840679931629,0.6349752695617378,-0.2596197296142688,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_011.py
10,aggressive,-0.6157034732055326,-0.6157034732055326,-0.4506222249121378,-1.188057152547406,0.2561840679931629,0.6349752695617378,-0.2596197296142688,/root/autodl-tmp/outputs/day18_v13_bugfix_gld/gen01_codes/strat_010.py
