id,prompt_style,fitness,train_Return_%,train_Sharpe,train_MaxDD_%,test_Return_%,test_Sharpe,test_MaxDD_%,code_path
18,aggressive,4.180235558980542,0.8838569111315592,0.32963786478489837,-1.439543890512518,0.052118205872218826,0.08169738382594849,-0.8234311435434072,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_018.py
5,aggressive,3.832717595670249,0.4181174868190283,0.34146001088512207,-0.8373593073808028,-0.11193998031016963,-0.36600457391825175,-0.46551210752739935,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_005.py
14,aggressive,0.9731595583289943,0.16372356666308768,0.08094359916659065,-1.4764906379649778,0.3694621425210498,0.6206996724156167,-0.6433704817070396,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_014.py
20,aggressive,0.9731595583289943,0.16372356666308768,0.08094359916659065,-1.4764906379649778,0.3694621425210498,0.6206996724156167,-0.6433704817070396,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_020.py
8,aggressive,0.9731595583289943,0.16372356666308768,0.08094359916659065,-1.4764906379649778,0.3694621425210498,0.6206996724156167,-0.6433704817070396,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_008.py
7,aggressive,0.9731595583289943,0.16372356666308768,0.08094359916659065,-1.4764906379649778,0.3694621425210498,0.6206996724156167,-0.6433704817070396,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_007.py
13,aggressive,0.0,0.0,,-0.0,0.012208799107596861,0.13990129073380514,-0.056860371127365195,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_013.py
11,aggressive,-0.15770728871908796,-0.15770728871908796,-0.32436305842124225,-0.3821635025572201,0.08946346836557496,0.5524629136973571,-0.11263437030797352,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_011.py
17,aggressive,-0.21649396004118898,-0.21649396004118898,-0.1146102019869684,-1.426790881849782,0.15934583801118424,0.30233265126319125,-0.6208338192716267,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_017.py
3,aggressive,-0.23233819081471302,-0.23233819081471302,-0.4798380407709793,-0.30641829902547935,0.08100817688564711,0.47024711144539,-0.12655678026701755,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_003.py
1,aggressive,-0.34315962710557507,-0.34315962710557507,-0.5809986996599964,-0.5557918262656503,0.011700869527790928,0.06608054436105812,-0.15006565950638207,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_001.py
12,aggressive,-0.34315962710557507,-0.34315962710557507,-0.5809986996599964,-0.5557918262656503,0.011700869527790928,0.06608054436105812,-0.15006565950638207,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_012.py
15,aggressive,-0.34315962710557507,-0.34315962710557507,-0.5809986996599964,-0.5557918262656503,0.011700869527790928,0.06608054436105812,-0.15006565950638207,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_015.py
4,aggressive,-0.34315962710557507,-0.34315962710557507,-0.5809986996599964,-0.5557918262656503,0.011700869527790928,0.06608054436105812,-0.15006565950638207,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_004.py
19,aggressive,-0.34315962710557507,-0.34315962710557507,-0.5809986996599964,-0.5557918262656503,0.011700869527790928,0.06608054436105812,-0.15006565950638207,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_019.py
10,aggressive,-0.46349647952114176,-0.46349647952114176,-0.2437679726514396,-1.843421310259663,0.36555384110560407,0.6887345288586197,-0.46879430578316006,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_010.py
6,aggressive,-0.4823645468537725,-0.4823645468537725,-0.27872541404591716,-1.1744406595340817,0.18054773058122373,0.36731658652650573,-0.5906500636712497,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_006.py
9,aggressive,-1.4560368826328922,-1.4560368826328922,-0.8568221162785222,-2.1869768399897405,0.24752529580530244,0.5397957489784979,-0.3783868445687455,/root/autodl-tmp/outputs/day18_v13_bugfix_iwm/gen01_codes/strat_009.py
