market,priority,fixed_return,fixed_trades,adaptive_return,adaptive_trades,improvement_pp,sharpe_ratio,max_drawdown,win_rate
DAX_Germany,1,0.0,0,3.771694320312497,9,3.771694320312497,0.42908566458044556,-5.264192057984652,55.55555555555556
FTSE_UK,1,0.0,0,-17.126418149414064,17,-17.126418149414064,-1.7367068725628396,-17.56702719481339,11.76470588235294
Nikkei_Japan,2,0.0,0,6.523159298828192,8,6.523159298828192,0.791326153100208,-4.8452161979041595,50.0
Nifty50_India,3,0.0,0,5.042770046874983,10,5.042770046874983,0.42732377382552666,-10.109628904743799,50.0
Bovespa_Brazil,3,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Gold_GLD,4,0.44722441802980034,6,6.981888537719759,6,6.534664119689959,0.46989293455746606,-6.550298548069882,50.0
Bitcoin_BTC,4,0.0,0,11.92602625000001,3,11.92602625000001,0.7441805605389341,-4.860763531712632,33.33333333333333
