id,prompt_style,fitness,train_Return_%,train_Sharpe,train_MaxDD_%,test_Return_%,test_Sharpe,test_MaxDD_%,code_path
7,aggressive,3.2132963913298562,0.4513299877929676,0.27619664035368885,-0.845285412443042,0.3752766168212838,0.854968511201964,-0.43064676963986415,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_007.py
10,aggressive,3.2132963913298562,0.4513299877929676,0.27619664035368885,-0.845285412443042,0.3752766168212838,0.854968511201964,-0.43064676963986415,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_010.py
17,aggressive,3.2132963913298562,0.4513299877929676,0.27619664035368885,-0.845285412443042,0.3752766168212838,0.854968511201964,-0.43064676963986415,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_017.py
9,aggressive,0.0,0.0,,-0.0,0.0,,-0.0,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_009.py
3,aggressive,-0.36427884140014066,-0.36427884140014066,-0.29804264230297794,-0.7734115799953645,0.17741528701779316,0.5137877055410202,-0.24656427726112984,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_003.py
11,aggressive,-0.42653348556518905,-0.42653348556518905,-0.34751202361879097,-1.2668861821284794,0.43891176330567394,1.2200057751210782,-0.19139567068607866,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_011.py
20,aggressive,-0.42653348556518905,-0.42653348556518905,-0.34751202361879097,-1.2668861821284794,0.43891176330567394,1.2200057751210782,-0.19139567068607866,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_020.py
5,aggressive,-0.4332683486938331,-0.4332683486938331,-0.3598487148801689,-0.7749963433685392,0.21969794799802184,0.6261427411604575,-0.20760166658284618,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_005.py
6,aggressive,-0.4332683486938331,-0.4332683486938331,-0.3598487148801689,-0.7749963433685392,0.21969794799802184,0.6261427411604575,-0.20760166658284618,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_006.py
8,aggressive,-0.4332683486938331,-0.4332683486938331,-0.3598487148801689,-0.7749963433685392,0.21969794799802184,0.6261427411604575,-0.20760166658284618,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_008.py
12,aggressive,-0.4332683486938331,-0.4332683486938331,-0.3598487148801689,-0.7749963433685392,0.21969794799802184,0.6261427411604575,-0.20760166658284618,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_012.py
18,aggressive,-0.4332683486938331,-0.4332683486938331,-0.3598487148801689,-0.7749963433685392,0.21969794799802184,0.6261427411604575,-0.20760166658284618,/root/autodl-tmp/outputs/day30_gld_revalidation/gen01_codes/strat_018.py
