date,open,high,low,close,volume
2013-09-18,7.1796780000,8.2256064000,7.0697668800,7.4881382400,38889754
2013-09-23,7.4278644000,8.2362429600,7.2098149200,8.1901512000,31851606
2013-09-24,8.0642852400,8.1812874000,7.8710544000,7.9082823600,20004514
2013-09-25,7.8019167600,8.3567906400,7.8001440000,7.9862838000,17165136
2013-09-26,7.9153734000,7.9898293200,7.5253662000,7.6228680000,14680801
2013-09-27,7.6228680000,7.8533268000,7.5643669200,7.6228680000,8561465
2013-09-30,7.6210952400,7.7646888000,7.6015948800,7.6654142400,7668272
2013-10-08,7.6228680000,8.0146479600,7.6051404000,7.9756472400,11112977
2013-10-09,7.9153734000,8.0731490400,7.8001440000,7.9206916800,8305418
2013-10-10,7.8887820000,8.2185153600,7.8249626400,8.1032859600,15625661
2013-10-11,8.1546960000,8.1635598000,8.0217390000,8.0713762800,7969766
2013-10-14,8.0696035200,8.2131970800,7.9065096000,8.1546960000,9646785
2013-10-15,8.1546960000,8.1546960000,7.9508286000,8.0040114000,9241988
2013-10-16,7.9348737600,8.1334228800,7.7469612000,7.9189189200,8918362
2013-10-17,7.9206916800,7.9951476000,7.8391447200,7.9082823600,5552669
2013-10-18,7.8923275200,8.2965168000,7.8533268000,8.1564687600,10420989
2013-10-21,8.1901512000,8.5269756000,8.0979676800,8.4826566000,13565868
2013-10-22,8.4028824000,8.5642035600,8.3106988800,8.4064279200,8214741
2013-10-23,8.4152917200,8.5854766800,8.1369684000,8.1706508400,8729030
2013-10-24,8.1546960000,8.7928896000,8.1263318400,8.4206100000,12218451
2013-10-25,8.4082006800,8.6599326000,8.3514723600,8.4560652000,10233626
2013-10-28,8.5039297200,8.7751620000,8.4206100000,8.7698437200,10446741
2013-10-29,8.7042516000,8.8070716800,8.5110207600,8.6741146800,9652552
2013-10-30,8.6882967600,8.9808021600,8.6244774000,8.8939369200,12128524
2013-10-31,8.9843476800,9.0056208000,8.4968386800,8.5801584000,10073288
2013-11-01,8.4720200400,8.6492960400,8.3904730800,8.4667017600,7205717
2013-11-04,8.4383376000,8.5978860000,8.4383376000,8.5074752400,4962214
2013-11-05,8.4241555200,8.5819311600,8.3461540800,8.5429304400,5475095
2013-11-06,8.5057024800,8.5500214800,8.1919239600,8.2876530000,6025131
2013-11-07,8.2468795200,8.3195626800,8.0057841600,8.1936967200,6205677
2013-11-08,8.1192408000,8.1901512000,8.0359210800,8.0944221600,3341133
2013-11-11,8.0997404400,8.1546960000,7.9082823600,8.1156952800,3580989
2013-11-12,8.1334228800,8.3355175200,8.0660580000,8.2167426000,6472993
2013-11-13,8.1298773600,8.2149698400,8.0660580000,8.0660580000,3048409
2013-11-14,8.0749218000,8.2114243200,7.9189189200,8.1546960000,5436007
2013-11-15,8.1316501200,8.3426085600,8.0855583600,8.1901512000,6421521
2013-11-18,8.2167426000,8.3461540800,8.1724236000,8.3124716400,4983041
2013-11-19,8.3106988800,8.4206100000,8.2451067600,8.3266537200,5316174
2013-11-20,8.4170644800,8.4170644800,8.2273791600,8.2752436800,4172673
2013-11-21,8.2787892000,8.2787892000,7.9862838000,8.1032859600,6602904
2013-11-22,8.1281046000,8.3053806000,8.0944221600,8.2575160800,4428863
2013-11-25,8.1245590800,8.2096515600,8.0802400800,8.1476049600,6320252
2013-11-26,8.1387411600,8.3674272000,8.1015132000,8.3656544400,7858305
