date,open,high,low,close,volume
2010-05-28,3.2749080000,3.4848380000,3.2278836800,3.4399129800,34098354
2010-05-31,3.6057576800,3.6851112200,3.5062508600,3.5688100000,17227873
2010-06-01,3.6107960000,3.6947680000,3.5343814800,3.6632785000,10994680
2010-06-02,3.5478170000,3.6275904000,3.4520889200,3.6149946000,9496264
2010-06-03,3.6107960000,3.6439649400,3.4012858600,3.4260576000,7560522
2010-06-04,3.3609793000,3.4802195400,3.3601395800,3.4029653000,5087772
2010-06-07,3.2921222600,3.4676237400,3.2921222600,3.4063241800,4676806
2010-06-08,3.3840716000,3.4596464000,3.2509759800,3.3290699400,5514313
2010-06-09,3.3206727400,3.4588066800,3.2967407200,3.4092632000,4495839
2010-06-10,3.3798730000,3.5377403600,3.3702162200,3.5058310000,3619226
2010-06-11,3.5268240000,3.5646114000,3.4672038800,3.5343814800,3785070
2010-06-17,3.5352212000,3.5570539200,3.3294898000,3.3588800000,3301453
2010-06-18,3.3135351200,3.3983468400,3.2967407200,3.3416657400,1923900
2010-06-21,3.3168940000,3.3328486800,3.1069640000,3.3168940000,2365497
2010-06-22,3.2749080000,3.3315891000,3.2278836800,3.2539150000,1190746
2010-06-23,3.2119290000,3.2959010000,3.1934551600,3.2833052000,1290247
2010-06-24,3.2669306600,3.3084968000,3.2635717800,3.3000996000,1178116
2010-06-25,3.3000996000,3.3000996000,3.3000996000,3.3000996000,0
2010-06-28,3.2950612800,3.2950612800,3.1413925200,3.1489500000,2241503
2010-06-29,3.1489500000,3.1489500000,2.9045914800,2.9213858800,1927304
2010-06-30,2.8873772200,2.9600130000,2.7710760000,2.9096298000,1276316
2010-07-01,2.8970340000,2.9302029400,2.8571473000,2.8718424000,704792
2010-07-02,2.8613459000,2.8802396000,2.6703096000,2.7987867600,1759315
2010-07-05,2.7290900000,2.8542082800,2.6955012000,2.8504295400,1042355
2010-07-06,2.8130620000,2.9180270000,2.7845115200,2.8819190400,1010688
2010-07-07,2.9030601600,2.9182860000,2.8193180400,2.9165942400,862828
2010-07-08,2.9394330000,2.9593111800,2.8759920000,2.9284365600,938342
2010-07-09,2.9284365600,3.0443221200,2.8941784200,3.0041428200,882125
2010-07-12,3.0197916000,3.0197916000,2.9394330000,2.9897628600,1288006
2010-07-13,2.9605800000,2.9605800000,2.8764149400,2.8903719600,600891
2010-07-14,2.9136336600,2.9309742000,2.8616120400,2.9039060400,836079
2010-07-15,2.9005225200,2.9352036000,2.8493467800,2.8493467800,501714
2010-07-16,2.8413109200,2.8413109200,2.7406512000,2.7719487600,1196082
2010-07-19,2.7491100000,2.8117051200,2.7381135600,2.8040922000,742578
2010-07-20,2.7909810600,2.9335118400,2.7909810600,2.9267448000,1075182
2010-07-21,2.9267448000,3.0113328000,2.9055978000,2.9601570600,1300242
2010-07-22,2.9373183000,2.9724223200,2.9102501400,2.9715764400,623032
2010-07-23,2.9863793400,3.0265586400,2.9309742000,2.9529670800,856108
2010-07-26,2.9631176400,2.9986446000,2.9411247600,2.9931463800,1534983
2010-07-27,2.9859564000,3.0104869200,2.9521212000,2.9521212000,907482
2010-07-28,2.9246301000,3.0193686600,2.9187089400,3.0121786800,1348915
2010-07-29,3.0155622000,3.0781573200,3.0142933800,3.0472827000,1392480
2010-07-30,3.0472827000,3.0472827000,2.9834187600,3.0252898200,914186
2010-08-02,3.0240210000,3.1466736000,3.0168310200,3.1424442000,1515382
