Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2020-01-02,208.84893798828125,208.84893798828125,206.7426633110624,207.14845610369375,30969400
2020-01-03,206.9359130859375,208.18229045665748,206.06635913547728,206.08568681560092,27518900
2020-01-06,208.2692413330078,208.2982254816246,205.06153936357958,205.31274023249196,21655300
2020-01-07,208.2402801513672,208.82964914274453,207.58328638665898,208.34656028891726,22139300
2020-01-08,209.80548095703125,210.76200218420846,207.8827967757834,208.21129365443758,26397300
2020-01-09,211.58323669433594,211.98902951483942,210.34653055298244,211.53492486607834,23547000
2020-01-10,211.04220581054688,212.4335041752272,210.66539706533788,212.41419123433656,21898500
2020-01-13,213.47689819335938,213.50588233656975,211.57352749482368,211.91169548920823,22756900
2020-01-14,212.63638305664062,213.72816853973075,212.3078861875927,213.37067277734212,24418100
2020-01-15,212.7233428955078,213.7185047492232,212.02769377060167,212.75232704715376,25742100
2020-01-16,214.76193237304688,214.80058772875157,213.3319938086431,213.78609841063255,18805000
2020-01-17,215.8247528076172,215.99865769573844,214.6073596199688,215.72812915241656,24325200
2020-01-21,215.72813415527344,216.26919125446463,215.12910875869753,215.22571767343865,21146300
2020-01-22,216.2982177734375,217.53492416890225,216.02768917084853,216.81996203750418,20736400
2020-01-23,216.9938201904297,217.09044384597115,215.16774514521538,216.17257808912692,26496100
2020-01-24,215.16775512695312,218.2402076547653,214.17259334804965,218.00831971632832,37436500
2020-01-27,210.7232666015625,211.86334869348377,209.8343705475318,210.3078027129726,42264400
2020-01-28,213.96005249023438,214.45281256125466,211.650888336214,212.2112731812221,26731900
2020-01-29,214.30784606933594,215.38996023828463,213.36099617150586,215.14841584395145,28924500
2020-01-30,215.07115173339844,215.16776065320295,212.25957122127917,212.92623616154467,39568100
2020-01-31,211.66053771972656,215.99866578651222,210.90690561487222,215.96968163740632,52015800
2020-02-03,214.8585662841797,215.3513115227155,212.5494025509091,212.69432328497865,25408600
2020-02-04,219.7764129638672,220.15322162635042,217.0517851407579,217.79574599739905,30691200
2020-02-05,220.5010223388672,222.4623614142655,219.1773639288974,222.42372080243564,38534800
2020-02-06,222.4044189453125,222.46238724113618,220.2691600120407,221.05176149106026,22467100
2020-02-07,221.4479217529297,222.64598738591226,220.81024094459858,221.40928113244058,25884900
2020-02-10,224.12423706054688,224.13389352995074,220.65566273608337,220.7136310379093,21478900
2020-02-11,224.1628875732422,226.1049142263209,223.57351857416737,225.36095325375385,30198000
2020-02-12,226.34642028808594,226.45270040900837,224.926138100622,225.4865228525132,24471300
2020-02-13,226.05661010742188,226.98413249462888,224.50106333498056,224.77159192647449,22773200
2020-02-14,226.70394897460938,226.91650926118612,225.6508187546535,226.41409269812266,23438500
2020-02-18,226.79086303710938,227.21598353828634,225.36092432263243,225.60246872169205,24394500
2020-02-19,228.9647674560547,229.43819979556528,227.8729967743228,228.14352532755728,22230500
2020-02-20,226.8391876220703,228.93579135468923,224.03727833248954,228.46237374123714,42604000
2020-02-21,222.4817352294922,226.0952302642192,221.5638693955316,225.70876509498356,66017200
2020-02-24,213.90208435058594,216.66535321315746,212.8102988118249,214.18226940195453,84522600
2020-02-25,208.08567810058594,216.41413956218915,207.47699619928432,215.69916278578438,97743000
2020-02-26,209.15814208984375,212.82962025839348,207.6315795713472,209.38037357316838,79537700
2020-02-27,198.6847381591797,209.1001303065145,198.54947390048827,203.76682644166988,121822600
2020-02-28,198.83935546875,200.16301407933022,191.46741557261552,191.92152022960443,148173700
2020-03-02,209.10015869140625,209.24509417998505,198.97462136466152,201.8151859254803,112933900
2020-03-03,202.3948974609375,212.18228213418482,200.5978063759299,209.76683792007256,131953500
2020-03-04,210.83929443359375,210.9455745680638,204.22097143088072,206.10502970036788,73086200
2020-03-05,204.4335479736328,209.0422200004112,202.99395255167855,205.4963494029369,78705500
2020-03-06,200.98428344726562,202.07605419153373,196.04711495388645,197.74758234914825,89828400
2020-03-09,187.0230255126953,194.3563107585082,185.61239957600804,186.93605831475506,116424000
2020-03-10,197.20651245117188,197.3900885557963,187.12927231857668,194.3079796228715,100599200
2020-03-11,188.61720275878906,193.9601640050155,186.21141509339682,192.60752118674338,89168800
2020-03-12,171.32264709472656,184.32739145919078,170.95549482908672,175.93130438482478,137820700
2020-03-13,185.83460998535156,187.9022296147373,172.10523351541238,180.74286426615987,134882000
2020-03-16,163.57386779785156,178.4336690036627,163.43860352590036,168.25982023113983,92054400
2020-03-17,175.97958374023438,178.15348329410705,164.0376282679191,169.53518105410024,121257100
2020-03-18,170.626953125,173.15833346813568,161.15841063606604,165.80572207206038,114156300
2020-03-19,171.651123046875,177.28394045674713,165.82507305755854,169.74775191681167,120896500
2020-03-20,164.926513671875,176.68489331616897,164.3468159564392,175.59312265121642,118983900
2020-03-23,165.04562377929688,168.6765111710314,159.69126158009655,165.49100435917654,124639800
2020-03-24,177.8263397216797,177.9909381728403,172.29770216605112,174.1954524263536,94881800
2020-03-25,176.50953674316406,183.49051441926807,174.26322071911915,178.56219362614993,88754900
2020-03-26,185.8046112060547,186.59857236764165,177.7779357062024,178.02967192191286,79887600
2020-03-27,179.4142608642578,184.45876572463197,178.79458997620458,180.99247661598065,58845000
2020-03-30,185.9401397705078,186.37585803544835,180.42119441380564,181.11832590876983,49356900
2020-03-31,184.3522186279297,189.04817143362257,183.19033781465893,185.6302978644088,62659300
2020-04-01,176.5192108154297,181.69928249496988,175.1152707111234,178.90107933359985,53715400
2020-04-02,180.10165405273438,184.0617523023465,175.22174891831517,175.48317689265843,56465300
2020-04-03,177.54554748535156,181.1280348632894,175.53161350651752,179.65631103758017,47487600
