date,open,high,low,close,volume
2010-01-04,4.6203670000,4.6362993000,4.4849424500,4.4865356800,9097074
2010-01-05,4.4929086000,4.5295528900,4.3415517500,4.3558908200,16877711
2010-01-06,4.3686366600,4.4036877200,4.2236527300,4.2618902500,30002206
2010-01-07,4.2650767100,4.2762293200,4.0308719000,4.0786688000,46536330
2010-01-08,4.0754823400,4.1726693700,4.0324651300,4.1726693700,20109879
2010-01-11,4.2300256500,4.2475511800,4.0308719000,4.0547703500,25833308
2010-01-12,4.0563635800,4.1519573800,4.0117531400,4.1248724700,18204220
2010-01-13,4.0436177400,4.0977875600,4.0149396000,4.0468042000,18453050
2010-01-14,4.0531771200,4.1901949000,4.0531771200,4.1870084400,17286401
2010-01-15,4.1901949000,4.1981610500,4.0946011000,4.1280589300,14220577
2010-01-18,4.1264657000,4.1662964500,4.0722958800,4.1248724700,12067203
2010-01-19,4.1423980000,4.1631099900,4.0914146400,4.1423980000,13081601
2010-01-20,4.1423980000,4.1647032200,4.0149396000,4.0292786700,11964861
2010-01-21,4.0356515900,4.0547703500,3.8699556700,3.9241254900,22297983
2010-01-22,3.8858879700,3.8858879700,3.7823280200,3.8237520000,16365589
2010-01-25,3.8253452300,3.9368713300,3.8237520000,3.8301249200,7797790
2010-01-26,3.8428707600,3.8906676600,3.7934806300,3.8173790800,11272205
2010-01-27,3.8173790800,3.8508369100,3.7440905000,3.8221587700,14830584
2010-01-28,3.8253452300,3.9018202700,3.7918874000,3.8890744300,7837505
2010-01-29,3.8763285900,3.9432442500,3.7998535500,3.8141926200,11298294
2010-02-01,3.8253452300,3.9034135000,3.7918874000,3.8858879700,10406672
2010-02-02,3.8874812000,3.9320916400,3.8874812000,3.8954473500,6215384
2010-02-03,3.9050067300,4.0197192900,3.8189723100,3.9958208400,12425917
2010-02-04,3.9751088500,3.9814817700,3.8667692100,3.8795150500,12042190
2010-02-05,3.8141926200,3.8556166000,3.7456837300,3.7902941700,8692542
2010-02-08,3.7887009400,3.8046332400,3.7472769600,3.7648024900,4187362
2010-02-09,3.7648024900,3.7887009400,3.6325644000,3.6851409900,10796160
2010-02-10,3.7122259000,3.8237520000,3.7122259000,3.7966670900,10568571
2010-02-11,3.7982603200,3.8779218200,3.7918874000,3.8572098300,7928947
2010-02-12,3.8667692100,3.8954473500,3.8364978400,3.8683624400,4649376
2010-02-22,3.8635827500,3.9273119500,3.8078197000,3.8874812000,8378499
2010-02-23,3.8842947400,3.9273119500,3.8715489000,3.9018202700,9422283
2010-02-24,3.8874812000,3.9990073000,3.8747353600,3.9830750000,17095523
2010-02-25,4.0308719000,4.2539241000,4.0308719000,4.1392115400,43829315
2010-02-26,4.1392115400,4.1392115400,4.1392115400,4.1392115400,0
2010-03-01,4.1392115400,4.1917881300,4.0946011000,4.1439912300,17607576
2010-03-02,4.1439912300,4.1901949000,4.1439912300,4.1631099900,14089701
2010-03-03,4.1742626000,4.2650767100,4.1312453900,4.2634834800,15452899
2010-03-04,4.2634834800,4.3431449800,4.1392115400,4.1726693700,18422626
2010-03-05,4.1678896800,4.2953480800,4.1678896800,4.2857887000,15157364
2010-03-08,4.2889751600,4.3144668400,4.2459579500,4.2857887000,12770144
2010-03-09,4.3017210000,4.3112803800,4.1933813600,4.2220595000,11698350
2010-03-10,4.2220595000,4.2523308700,4.1599235300,4.1678896800,8807322
2010-03-11,4.1806355200,4.1981610500,4.1025672500,4.1296521600,6678349
2010-03-12,4.1264657000,4.1583303000,4.0977875600,4.1439912300,8330716
2010-03-15,4.1280589300,4.1423980000,4.0229057500,4.0308719000,5946456
2010-03-16,4.0388380500,4.0914146400,4.0117531400,4.0786688000,4326030
2010-03-17,4.0866349500,4.2109068900,4.0866349500,4.1838219800,10142215
2010-03-18,4.1981610500,4.2730428600,4.1774490600,4.2125001200,9132957
