date,open,high,low,close,volume
2010-01-04,4.7083272000,4.7216088000,4.5854724000,4.5887928000,84226021
2010-01-05,4.5954336000,4.6651620000,4.4925012000,4.6153560000,110017918
2010-01-06,4.5987540000,4.6087152000,4.5057828000,4.5157440000,104264464
2010-01-07,4.5190644000,4.5423072000,4.3364424000,4.3962096000,124150042
2010-01-08,4.3464036000,4.3663260000,4.2301896000,4.3497240000,132180282
2010-01-11,4.5323460000,4.5489480000,4.2833160000,4.3264812000,174027970
2010-01-12,4.2999180000,4.4659380000,4.2434712000,4.4227728000,159554170
2010-01-13,4.3298016000,4.3630056000,4.2434712000,4.2667140000,164757973
2010-01-14,4.2799956000,4.3131996000,4.2268692000,4.2965976000,89265589
2010-01-15,4.2932772000,4.3796076000,4.2467916000,4.3331220000,87906013
2010-01-18,4.3165200000,4.3231608000,4.2501120000,4.2932772000,111039246
2010-01-19,4.3065588000,4.3663260000,4.2932772000,4.3364424000,128406326
2010-01-20,4.3397628000,4.3430832000,4.1172960000,4.1338980000,168772949
2010-01-21,4.1338980000,4.1637816000,4.0210044000,4.0940532000,122292994
2010-01-22,4.0210044000,4.1006940000,3.9745188000,4.0508880000,109155813
2010-01-25,4.0210044000,4.0741308000,4.0044024000,4.0309656000,47263717
2010-01-26,4.0342860000,4.0508880000,3.8417028000,3.8682660000,97655809
2010-01-27,3.8815476000,3.8915088000,3.8018580000,3.8151396000,66658810
2010-01-28,3.8251008000,3.8616252000,3.7686540000,3.8217804000,64978894
2010-01-29,3.7852560000,3.8583048000,3.7686540000,3.7918968000,64537735
2010-02-01,3.7786152000,3.7885764000,3.6790032000,3.6989256000,58433906
2010-02-02,3.7221684000,3.7653336000,3.6756828000,3.6823236000,56137433
2010-02-03,3.7055664000,3.7752948000,3.5793912000,3.7653336000,84262880
2010-02-04,3.7221684000,3.7420908000,3.6856440000,3.7155276000,65631562
2010-02-05,3.6192360000,3.6590808000,3.5860320000,3.6291972000,85053107
2010-02-08,3.6192360000,3.6457992000,3.5528280000,3.5926728000,53950998
2010-02-09,3.5860320000,3.6225564000,3.5661096000,3.6092748000,45826388
2010-02-10,3.6325176000,3.6756828000,3.5993136000,3.6624012000,68686506
2010-02-11,3.6624012000,3.7088868000,3.6424788000,3.6790032000,61737332
2010-02-12,3.6989256000,3.7487316000,3.6756828000,3.7354500000,63593734
2010-02-22,3.7420908000,3.7520520000,3.6823236000,3.6956052000,45068616
2010-02-23,3.6823236000,3.6823236000,3.5860320000,3.6457992000,47083533
2010-02-24,3.6192360000,3.7055664000,3.5893524000,3.7022460000,59367392
2010-02-25,3.7055664000,3.7686540000,3.6856440000,3.7520520000,92030305
2010-02-26,3.7321296000,3.7852560000,3.7122072000,3.7487316000,63557979
2010-03-01,3.7454112000,3.8084988000,3.7354500000,3.7852560000,56088025
2010-03-02,3.7885764000,3.7918968000,3.7221684000,3.7454112000,50677994
2010-03-03,3.7454112000,3.7752948000,3.7022460000,3.7586928000,48225282
2010-03-04,3.7520520000,3.7620132000,3.6657216000,3.6690420000,58784744
2010-03-05,3.6723624000,3.6889644000,3.6524400000,3.6657216000,34066446
2010-03-08,3.6756828000,3.7055664000,3.6657216000,3.6889644000,27028742
2010-03-09,3.6889644000,3.7354500000,3.6491196000,3.7088868000,39626436
2010-03-10,3.7122072000,3.7852560000,3.7088868000,3.7387704000,77652666
2010-03-11,3.7420908000,3.8417028000,3.7254888000,3.8151396000,102477142
2010-03-12,3.8118192000,3.8350620000,3.7520520000,3.7553724000,75468261
2010-03-15,3.7520520000,3.7586928000,3.6823236000,3.6989256000,34816320
2010-03-16,3.6922848000,3.7686540000,3.6889644000,3.7586928000,37839141
2010-03-17,3.7586928000,3.8118192000,3.7454112000,3.8084988000,45211939
2010-03-18,3.8151396000,3.8350620000,3.7852560000,3.8051784000,46500964
2010-03-19,3.8051784000,3.8682660000,3.7819356000,3.8549844000,54595242
2010-03-22,3.8450232000,3.8881884000,3.8317416000,3.8583048000,44818741
2010-03-23,3.8583048000,3.9346740000,3.8450232000,3.8483436000,58266721
2010-03-24,3.8483436000,3.9014700000,3.8383824000,3.8417028000,36196505
2010-03-25,3.8417028000,3.8782272000,3.8018580000,3.8118192000,46119203
